x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
var,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,abun,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici,ici
status,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,uc,uc,uc,uc,uc,uc,uc,uc,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,crohn,uc,uc,uc,uc,uc,uc,uc,uc
subj,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__torques,0,0.002,0,0.0002,0,0.001,0.0006,0.0028,0.0016,0,0.0002,0.0096,0.0008,0,0.0106,0,0,0.0174,0.003,0,0,0,0,0,0.0014,0.0014,0,0,0.0014,0,0.0006,0,0,0,0,NA,0,0,0.0084,NA,0.0052,0.002,0.0076,0,0.008,0,0.0324,0,0,0.0002,0,0.018,0,0,0.0048,0,2,0,37,1,77,45,145,87,0,0.0001,18.36363636,34,0,190,0,1,1144,652,0,0,0,0,0,38,9,0,8,37,0,3,0,1,0,0,12,0.0001,0,138,1,0.7,137,8.25,0,11.8,0,748,0,0,0.0001,0,218,0,0,18.5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;Other,0.0174,0.0004,0.05,0,0.0172,0.0432,0.056,0.0404,0.0402,0.0086,0,0.0446,0.0142,0.0028,0.0526,0.0092,0,0.0426,0.003,0.0198,0.0078,0,0.164,0.27,0.0486,0,0,0,0,0.2662,0.0044,0.0134,0,0.0022,0.0252,NA,0.0648,0.005,0.0006,NA,0.3932,0,0,0.0642,0.0198,0,0.0002,0,0.0152,0.1088,0.0148,0.012,0.0262,0.0002,0.0058,0.682539683,0.0001,8.351351351,1,0.626373626,2.528409091,1.792134831,8.176470588,3.025641026,2.157894737,0,12.85714286,8.65625,0.357142857,138,17,30,346,4,2.111111111,12,1,5.503546099,0.466533467,0.093632959,0,0,0,0,0.106588334,4.428571429,4.5625,0,1,22.9,1.212785388,0.247723133,0.555555556,1,0.442159383,0.075591216,0,0,63.66666667,1.113207547,0.0001,0.0001,24,3.968253968,1.359195402,7.727272727,106,176,0.0001,17
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila,0.0006,0.0002,0,0,0.0208,0,0.0276,0.002,0.0006,0.0112,0.0004,0.0354,0.0008,0,0.0004,0.0056,0,0.0634,0.0072,0.0088,0,0,0,0.1112,0.0006,0.0532,0.2432,0.3332,0,0,0,0.0062,0.0032,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.1514,0,0.025,0,20,4,0,0,49.875,0,2.878787879,21,18,138,4,9.516129032,26,0,2,26.66666667,14,618,160.6,37,0,0,0,3.051470588,3,32,3.3187251,3.134042553,0,0,0,1.526315789,29,0,0,0.308888889,1,1,0,4.637931034,0,0,0,0,0,0,0,0,2,0,0,52.05263158,0,14.43902439,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans,0.0022,0.0314,0.0208,0.004,0.0042,0.0088,0.0134,0.0188,0.0084,0.0138,0.0262,0.0072,0.0134,0.0102,0.0092,0.0176,0.01,0,0.0158,0.0098,0.0006,0,0,0,0.006,0,0,0,0,0.0194,0.0018,0.0004,0.0016,0.0176,0.0072,NA,0.0218,0,0.001,NA,0,0.0142,0,0,0.0022,0.0092,0.0276,0,0.0124,0.0452,0.0002,0,0,0.0046,0.0036,34.4,0.503144654,15.8,1.913043478,9.4,0.070175439,5.411764706,0.607594937,0.275862069,0.479166667,0.79,69.33333333,0.484375,16.5,0.261538462,483.5,1.148148148,0,0.185185185,11.125,3,0,0,0,0.142857143,0,0.0001,0,0,0.896551724,11,0.5,0.027777778,0.362318841,0.054794521,0,0.194842407,0,14,0.090909091,0,1.479166667,0,0,1.333333333,0.077922078,565,0,2.44,3.8,0.0001,0,0,0.463414634,1.571428571
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__,0.0008,0.0004,0.0022,0.0002,0.003,0.0012,0.0006,0.0044,0.0056,0.0052,0.0142,0.0072,0.0016,0.003,0.024,0.0024,0.0024,0.0048,0.0008,0.0046,0.0128,0.0006,0,0.0004,0.0048,0.0238,0.1062,0.027,0.2622,0,0.0108,0.0004,0.0034,0.0078,0.0036,NA,0.003,0.0432,0.0004,NA,0.0516,0.0244,0.0578,0,0.019,0.0468,0.0288,0,0.0112,0.0082,0.0004,0.0372,0.0164,0.051,0,1.333333333,9,0.4,5,13,86,77,0.4,1,80,0.605633803,17.71428571,39.66666667,116,1.943396226,6.538461538,119,3.961538462,1.666666667,0.857142857,0.563106796,0.176470588,0.0001,0.2,0.966666667,0.038288288,0.262511804,5.309352518,1.995049505,0,63.25,0.0001,14,5.368421053,3.692307692,1,72,0.193771626,4.5,1.6875,12.49565217,31.53571429,1.659722222,0.0001,0.457746479,0.076666667,0.093607306,2,0.561643836,0.942857143,7,1.295597484,0.674556213,2.649484536,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__,0.0004,0.0002,0.0016,0,0.0002,0,0,0.0002,0,0,0,0.0008,0.0008,0.0004,0,0.0004,0.0004,0,0,0,0.0004,0,0,0,0.0002,0,0,0,0,0,0,0.0002,0.0016,0,0,NA,0,0,0.0008,NA,0,0,0,0,0,0,0,0,0.0004,0,0,0.002,0,0.007,0,6,0.666666667,0.75,0,1,0.0001,0,0.0001,0,1,0,0.0001,197,1,0,0.0001,0.0001,0,0.0001,0,0.0001,0,0,0,0.0001,0.166666667,0,0,0,0,0,1,0.0001,1,0.0001,0,0,0,0.0001,0,1,0,0,0,0.0001,0,0,0,0.0001,0,0,1,0,0.23255814,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__,0.0036,0.053,0.0014,0.008,0.0032,0.01,0.0186,0.001,0.0182,0.054,0.024,0.0058,0.0138,0.0002,0.0006,0.0012,0.0234,0.0042,0.0196,0.0158,0.0018,0,0,0,0.051,0.0128,0.0194,0.0068,0.0002,0.0002,0.0002,0.0024,0.02,0.02,0.0002,NA,0.0076,0.0018,0.0016,NA,0.0008,0.0244,0.0208,0,0.0016,0.0132,0.0544,0.0268,0.0224,0.0006,0.0286,0.0012,0.0304,0.0462,0.004,0.08,0.329787234,4.5,1.116666667,0.6,0.163636364,0.181818182,1,0.146153846,2.429411765,0.352941176,168,0.130841121,0.0001,0.0001,13,0.481132075,0.970588235,0.196850394,0.171171171,0.1,0,0,0,0.024193548,0.032258065,41.4,36,1,3,3,0.108695652,1.215686275,0.2,0.0001,0,0.396694215,1.333333333,0.538461538,0.0001,5,0.06557377,0.085616438,0,13,0.064516129,18.81818182,24.57142857,0.147058824,18,0.875,23,359,0.073170732,2.35
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;Other,0.0088,0.0018,0.0278,0.0098,0.0094,0.0084,0.0016,0.0008,0.0074,0.016,0.04,0.0096,0.0172,0.008,0.0038,0.007,0.0126,0.0086,0.0006,0.0082,0,0,0,0,0.003,0.0142,0,0,0.0046,0,0.0074,0.0116,0.0042,0.044,0.0056,NA,0.0072,0.0066,0.0046,NA,0,0.0066,0.0004,0,0.0068,0,0,0,0.0078,0.003,0.0014,0,0.0014,0.0044,0.0012,1.88,0.583333333,0.164556962,0.25,3.222222222,8.234042553,12,0.333333333,0.371428571,0.518518519,158.2,11.35714286,12.04651163,0.65625,1.153846154,0.255319149,2.551724138,0.125,0.333333333,1.319148936,0,0,0,0,0.043478261,0.789473684,0,0,0.0001,0.0001,7.357142857,0.230769231,0.0001,2.146341463,0.0001,0,1.4,0.05,95,1,0,0.666666667,5,0,37,0,0.0001,0,0.666666667,0.0001,0.25,0,0.0001,0.0001,1.333333333
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0.0084,0.0154,0,0,0,0,0,0,0,0,0.2378,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0001,77,6,0,0,0,0,0,0,0,0,28.74444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0,0.0088,0.0104,0,0,0,0,0,0,0.015,NA,0,0,0,NA,0,0,0,0,0,0.0018,0.0134,0.0036,0,0.0034,0.0832,0.0234,0.007,0.0002,0,3,1,0,1,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,68,0,0,0,0,0,0,0,0,6,4.4,0,0,0,0,0,0,0.675,0,0,0,0,0,0,0,0,0.0001,0,0.333333333,9.375,13,0,3.5,36.57894737,37.8,24,1,0.0001
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;Other;Other,0,0.0086,0,0,0,0.0002,0,0,0,0.002,0,0,0,0.001,0,0,0,0.0008,0,0,0,0,0.0004,0.164,0,0,0.0994,0,0.0016,0.0002,0.014,0,0.0002,0,0.0226,NA,0.0018,0,0.0006,NA,0.036,0.0008,0,0.0012,0.0098,0.009,0.004,0.0014,0,0,0.0198,0,0,0,0.0168,0,11.38461538,0,23,0,33,0,3,0,12,0,0,0,28,0,0,1,42,0,0.0001,0,0,5.5,0.72994012,1,3,0.266666667,1,74,4,0.28358209,2,0.0001,0,5.276315789,0,39,1,14,4,2.134831461,16,0,3,20.66666667,4.333333333,53,1,0,0,48.6,0,0,1,0.93220339
