GenomeID	B_vitamins
2829179	3
328708	7
342292	7
2118850	7
311867	7
170409	7
4339357	7
160222	7
873972	7
703842	7
1031290	7
1017432	7
1091582	7
4461617	7
4301917	7
347156	7
4321582	7
809084	7
3633321	7
3633322	7
4345912	7
4083995	7
4385553	7
2797397	7
2066111	7
185319	7
334764	7
864167	7
1087493	7
914198	7
1011289	7
997393	7
956191	7
1101968	7
1100209	7
1032108	7
1003570	7
1084696	7
1008972	7
1024847	7
864780	7
1034023	7
998655	7
1094564	7
893371	7
853526	7
671154	7
628331	7
696862	7
881402	7
979367	7
902484	7
900858	7
1021575	7
987264	7
887242	7
1046102	7
1009825	7
919437	7
1073564	7
875569	7
1078908	7
868588	7
916734	7
910365	7
1054555	7
1047265	7
932093	7
1079405	7
1054743	7
1072291	7
967683	7
954460	7
936360	7
969878	7
935635	7
884230	7
1000896	7
1087058	7
997652	7
894290	7
615610	7
998367	7
664839	7
944924	7
708440	7
986792	7
758273	7
930059	7
635655	7
911672	7
787759	7
882335	7
1041195	7
795022	7
889078	7
657418	7
1039929	7
722306	7
995586	7
715113	7
1008177	7
652634	7
955310	7
620238	7
1095059	7
777222	7
968244	7
721701	7
944285	7
777364	7
898647	7
760086	7
1080970	7
674887	7
970775	7
661808	7
1003066	7
615529	7
1058333	7
693130	7
946897	7
771619	7
999087	7
703033	7
929077	7
743917	7
900555	7
757329	7
1045406	7
719857	7
957500	7
730038	7
976642	7
764133	7
862753	7
757859	7
1095750	7
699175	7
937314	7
714102	7
1085697	7
759847	7
978929	7
733966	7
1001955	7
626198	7
958967	7
635855	7
978229	7
649343	7
1044526	7
774097	7
1021903	7
686802	7
1004653	7
676664	7
441151	7
442083	7
445417	7
394580	7
450210	7
465575	7
387228	7
425728	7
382354	7
449655	7
441863	7
385810	7
394020	7
436668	7
462118	7
398450	7
371878	7
431872	7
412022	7
405400	7
438192	7
411067	7
406286	7
453832	7
418636	7
493204	7
493314	7
500258	7
500339	7
574800	7
336593	7
1055773	7
1030404	7
942064	7
607280	7
973970	7
649087	7
1048746	7
712836	7
979152	7
618980	7
955676	7
697319	7
444086	7
450958	7
450727	7
1021912	7
864296	7
799749	7
337195	7
350391	7
337358	7
349355	7
318841	7
322207	7
314511	7
310959	7
303547	7
313439	7
336373	7
340621	7
310209	7
325266	7
345544	7
332869	7
345829	7
324572	7
342302	7
355664	7
4478479	7
3604010	7
4432291	7
3610038	7
2993437	7
2117426	7
3940413	7
4429312	7
2429776	7
4397457	7
4378087	7
2674565	7
611463	7
3003947	7
314654	7
4416450	7
1012339	7
677602	7
856261	7
748356	7
920889	7
920472	7
768208	7
349314	7
1030540	7
682741	7
316225	7
312019	7
324348	7
988314	7
141264	7
121352	7
259035	7
326718	7
104391	7
236202	7
4320481	7
4373653	7
331992	7
1146184	7
826503	7
814546	7
821880	7
169009	7
160286	7
161478	7
3517971	7
1639393	7
1639398	7
590417	7
151259	7
152421	7
555617	7
140071	7
231862	7
1125059	7
4429362	7
64657	7
4337410	7
722690	7
980640	7
707600	7
539579	7
810588	7
267708	7
4365152	7
3762646	7
4267655	7
2874842	7
4330437	7
4483127	7
3258590	7
4358552	7
3799794	7
4358550	7
3799793	7
819673	7
303781	7
4439276	7
304767	7
509679	7
323151	7
1770894	7
433643	7
455744	7
4077363	7
2572354	7
1793785	7
4410774	7
3536246	7
4298188	7
4335734	7
4339154	7
4384675	7
4354688	7
4194885	7
3085147	7
3896075	7
690456	7
1572278	7
3475690	7
2195977	7
2135234	7
1549257	7
4385556	7
1512087	7
3845866	7
341096	7
2802206	7
4477416	7
345641	7
2303925	7
2309601	7
4075222	7
4448217	7
4448216	7
3727576	7
561650	7
4460141	7
4421338	7
2639473	7
4334056	7
286873	7
872797	7
945305	7
1003987	7
950245	7
1101289	7
168614	7
313699	7
350818	7
308959	7
3522841	7
1101889	7
931308	7
304574	7
338365	7
311284	7
315037	7
310643	7
341673	7
321094	7
342730	7
318924	7
328082	7
318565	7
318665	7
1708702	7
873953	7
871511	7
8389	7
63478	7
4329734	7
1134885	7
1127350	7
4402841	7
4402839	7
4402835	7
4373665	7
1122842	7
1135400	7
1137847	7
1145180	7
1141186	7
1145567	7
1122286	7
4402837	7
4402836	7
4373660	7
4373663	7
1133175	7
1132591	7
4319159	7
4442252	7
1130854	7
1136168	7
4429361	7
4373659	7
4373661	7
4410985	7
1141650	7
4428752	7
1128450	7
237406	7
1131852	7
1147542	7
811617	7
3799795	7
312078	7
317445	7
338685	7
331307	7
243275	7
143092	7
809567	7
316938	7
305938	7
314245	7
316581	7
356169	7
352349	7
341188	7
573449	7
349527	7
334885	7
320294	7
311175	7
344961	7
320180	7
324718	7
336376	7
321948	7
331883	7
310008	7
305939	7
335357	7
343549	7
353972	7
327515	7
347550	7
350006	7
346986	7
315924	7
4345913	7
4305197	7
539944	7
343248	7
304927	7
312162	7
347158	7
337587	7
321222	7
306707	7
339242	7
337152	7
353542	7
331213	7
313592	7
322483	7
309774	7
314647	7
356332	7
322170	7
305358	7
331568	7
307948	7
330466	7
343146	7
334072	7
107590	7
341536	7
324486	7
306787	7
318925	7
350976	7
354699	7
322882	7
304587	7
329230	7
326275	7
351700	7
340183	7
3142823	7
351310	7
440030	7
4395549	7
4384034	7
4409005	7
327449	7
4382151	7
4382152	7
4382148	7
2251841	7
4078179	7
2077522	7
614960	7
4325129	7
2077523	7
2366354	7
4464132	7
353354	7
4200769	7
4194874	7
4378080	7
4378085	7
3964074	7
1770889	7
4472145	7
4459783	7
2700492	7
3610034	7
4417439	7
4477716	7
2381599	7
3306861	7
2514414	7
327433	7
2387409	7
3367932	7
2251846	7
3727568	7
4354687	7
3456349	7
2409049	7
4409009	7
4378507	7
1712240	7
2381604	7
3375833	7
3842231	7
4394376	7
4325458	7
4455234	7
3989054	7
4181461	7
4442781	7
336901	7
308153	7
1116898	7
327016	7
353991	7
312571	7
308223	7
347676	7
306930	7
334840	7
4421337	7
4363240	7
4460144	7
4392946	7
1020888	7
905790	7
895630	7
877946	7
1013737	7
990209	7
966224	7
964914	7
967430	7
943884	7
918847	7
996905	7
1104353	7
994055	7
1066413	7
1057335	7
988948	7
1016776	7
927107	7
987809	7
947158	7
1092029	7
1003060	7
889369	7
1018458	7
751326	7
689823	7
616745	7
1043395	7
961311	7
968615	7
1040374	7
1104064	7
993625	7
975636	7
885903	7
1085825	7
998868	7
1049893	7
1079730	7
884403	7
999502	7
870769	7
1079930	7
929063	7
1038023	7
1035960	7
1044766	7
884661	7
859862	7
856811	7
949897	7
1053738	7
886954	7
950190	7
948831	7
990475	7
1091998	7
964348	7
858689	7
872363	7
1005662	7
952886	7
1103096	7
899943	7
1018680	7
1009683	7
871533	7
886841	7
867589	7
741987	7
894120	7
623103	7
1051537	7
622888	7
868143	7
751886	7
998559	7
666717	7
1082491	7
974425	7
662872	7
735149	7
1052273	7
802210	7
1010600	7
760534	7
669141	7
783905	7
724391	7
720854	7
635854	7
776734	7
620409	7
782457	7
630075	7
700978	7
780305	7
792108	7
691271	7
676344	7
678379	7
651659	7
714077	7
445299	7
381906	7
460048	7
860609	7
193420	7
262231	7
189990	7
190264	7
177891	7
187715	7
196279	7
106882	7
333459	7
315252	7
334844	7
4320919	7
335060	7
343182	7
343114	7
352346	7
302312	7
331989	7
340133	7
166669	7
3268551	7
4385555	7
1601060	7
4402798	7
4385557	7
4444324	7
4445234	7
2018855	7
351148	7
168572	7
322794	7
4473163	7
355915	7
1857645	7
1857646	7
1857647	7
1857648	7
1857649	7
624235	7
3449243	7
333041	7
318363	7
350827	7
4350963	7
330747	7
334510	7
338103	7
316865	7
4446157	7
348129	7
315380	7
325908	7
347317	7
541596	7
572141	7
346225	7
329719	7
309446	7
4400282	7
4455510	7
324929	7
310000	7
335275	7
303424	7
327973	7
319689	7
246558	7
332614	7
339909	7
346417	7
342884	7
4393392	7
3693092	7
136723	7
4410775	7
2816286	7
4393388	7
4378079	7
1925717	7
4347785	7
660439	7
136696	7
136694	7
136693	7
136692	7
1960496	7
4346370	7
4418231	7
1565323	7
1512212	7
2816282	7
4396103	7
1747151	7
4476971	7
2502465	7
8396	7
8394	7
4471051	7
4427237	7
4259889	7
3375839	7
4200770	7
2462492	7
2477590	7
4442245	7
3896059	7
4338860	7
4310154	7
4472144	7
4351430	7
4472142	7
80373	7
8397	7
8395	7
1712247	7
3236900	7
4194880	7
3314172	7
2062176	7
2251845	7
855182	7
332689	7
4368154	7
4380888	7
4473954	7
4409008	7
4358525	7
3456350	7
4326349	7
4345650	7
4328415	7
310406	7
282493	7
808418	7
817954	7
860890	7
1043480	7
858338	7
1066659	7
889393	7
977630	7
1072901	7
978262	7
963020	7
937970	7
1104309	7
994923	7
862847	7
901559	7
878871	7
933812	7
922753	7
947396	7
875669	7
1064354	7
960761	7
1012895	7
1081183	7
901358	7
1016864	7
1094145	7
898242	7
1001310	7
914514	7
904833	7
994446	7
984517	7
1047012	7
648352	7
1083249	7
906068	7
695466	7
646450	7
947533	7
798563	7
1076305	7
623810	7
982065	7
663268	7
1030877	7
695584	7
937186	7
751535	7
1066474	7
727085	7
953477	7
647275	7
953663	7
739274	7
996289	7
969753	7
672990	7
893380	7
612711	7
996986	7
664315	7
873160	7
718298	7
958246	7
702366	7
1016466	7
659451	7
972973	7
610419	7
1002705	7
715300	7
892167	7
721542	7
1091587	7
728752	7
933789	7
793347	7
1019359	7
724960	7
998935	7
776193	7
997430	7
693438	7
958691	7
711634	7
1079803	7
633318	7
904768	7
708311	7
904841	7
673662	7
973557	7
613101	7
921835	7
768509	7
936309	7
765321	7
1009065	7
801275	7
1050179	7
714415	7
796534	7
782308	7
790903	7
694770	7
643948	7
767330	7
688465	7
653405	7
711236	7
703971	7
662938	7
761167	7
733619	7
635801	7
724496	7
409301	7
433364	7
424708	7
407953	7
423128	7
385646	7
450597	7
501895	7
936474	7
608579	7
887275	7
733217	7
856196	7
644301	7
901645	7
628472	7
409865	7
619778	7
1095427	7
687555	7
345851	7
2366462	7
1123674	7
1144210	7
1129702	7
1127057	7
1129482	7
1127468	7
1139465	7
1131586	7
1136133	7
1127910	7
1132718	7
1132324	7
1127741	7
1128596	7
4347908	7
4472329	7
4417595	7
4478530	7
4386315	7
4362510	7
4362509	7
4386314	7
4328678	7
4478531	7
4389223	7
4400030	7
4330086	7
4330082	7
340782	7
305208	7
342953	7
315702	7
316010	7
347505	7
355251	7
338618	7
329425	7
324313	7
780083	7
3392028	7
821905	7
838407	7
731547	7
4215621	7
1105700	7
1097107	7
852411	7
705380	7
1049242	7
351179	7
352164	7
343089	7
864425	7
2379926	7
4235446	7
4417442	7
344304	7
311939	7
308526	7
8386	7
941121	7
4375750	7
242603	7
323279	7
308416	7
2077519	7
326209	7
329264	7
173204	7
1512104	7
535160	7
4385517	7
1104436	7
4453618	7
8393	7
1896187	7
140419	7
2325771	7
4021335	7
78104	7
4449453	7
161833	7
665921	7
115340	7
171009	7
532590	7
4407522	7
160400	7
8383	7
238133	7
8391	7
142535	7
28144	7
1145590	7
834982	7
2750871	7
1136271	7
253188	7
129986	7
4386157	7
8384	7
156815	7
157937	7
70386	7
73095	7
139089	7
160897	7
160277	7
159984	7
261503	7
331016	7
323043	7
161214	7
2304406	7
1639400	7
1639397	7
4452893	7
43048	7
17643	7
172890	7
8390	7
1131178	7
1122457	7
1133826	7
1124045	7
260183	7
168944	7
254737	7
1130463	7
4373662	7
4442253	7
1141688	7
4402840	7
4442250	7
4442254	7
1133407	7
4373664	7
142504	7
4337412	7
4337413	7
4081872	7
4337414	7
3459974	7
3459975	7
3459983	7
3459981	7
3255662	7
2446178	7
4482248	7
62904	7
144472	7
142001	7
143899	7
144041	7
4418493	7
811088	7
236850	7
142649	7
1115555	7
824468	7
820968	7
725231	7
774234	7
170016	7
168896	7
161754	7
168346	7
150874	7
1111887	7
162138	7
163195	7
141358	7
141025	7
4400402	7
3888580	7
3888576	7
3888573	7
2874841	7
2251854	7
2935781	7
248623	7
143218	7
142813	7
143972	7
144489	7
144457	7
142663	7
144898	7
144903	7
142370	7
4430256	7
144831	7
4316326	7
256541	7
126179	7
115812	7
4301822	7
4462534	7
4313829	7
4313825	7
4473164	7
124092	7
106100	7
384561	7
4076439	7
4298187	7
4412944	7
4324677	7
800900	7
136697	7
136695	7
681408	7
806925	7
4477419	7
4311806	7
4446155	7
571823	7
268774	7
282496	7
550360	7
644254	7
3174656	7
3601949	7
531100	7
4351740	7
815863	7
4335400	7
1857650	7
3230648	7
1825752	7
4391644	7
4423906	7
4304042	7
886974	7
831276	7
860505	7
922015	7
899830	7
960313	7
949175	7
995352	7
1008304	7
1099870	7
620612	7
1029563	7
1026984	7
1008163	7
859626	7
984404	7
1022810	7
924163	7
991353	7
1102450	7
1016558	7
1084057	7
873029	7
943112	7
975936	7
915888	7
1008196	7
994732	7
1023616	7
1056543	7
863294	7
962093	7
1003354	7
866765	7
940485	7
915290	7
855557	7
996460	7
915164	7
983724	7
986943	7
1048404	7
1005267	7
856299	7
893430	7
912525	7
1034505	7
916968	7
1092179	7
881057	7
861447	7
1045287	7
917910	7
864888	7
908675	7
1019546	7
1102809	7
903776	7
418642	7
1097407	7
892418	7
890293	7
1014400	7
1049016	7
768080	7
709491	7
707536	7
650140	7
862227	7
912835	7
877992	7
881277	7
1102404	7
1075432	7
999891	7
925274	7
1063378	7
1005279	7
916592	7
1029381	7
898054	7
998717	7
1000817	7
922174	7
869228	7
974187	7
864022	7
937224	7
1023366	7
742559	7
1093247	7
1055429	7
678444	7
795426	7
943224	7
660229	7
1023253	7
636667	7
996484	7
680622	7
894637	7
673248	7
954232	7
619109	7
932497	7
700295	7
1079860	7
889170	7
778858	7
961475	7
629173	7
901758	7
704718	7
1060658	7
670464	7
1077230	7
757512	7
924924	7
753665	7
925393	7
695604	7
1024953	7
714709	7
1060509	7
643864	7
903174	7
700530	7
1068959	7
773711	7
1074435	7
697042	7
946728	7
796484	7
1026418	7
697797	7
926104	7
640888	7
1051076	7
660366	7
975111	7
747546	7
861186	7
650596	7
1017689	7
615725	7
906989	7
736324	7
919191	7
631159	7
969477	7
803490	7
1050626	7
748467	7
1066254	7
772441	7
1102349	7
694588	7
1065634	7
748791	7
854254	7
724489	7
1079030	7
621868	7
1003678	7
710204	7
918776	7
699649	7
1050511	7
610736	7
939296	7
654080	7
942379	7
684446	7
1028869	7
672913	7
890123	7
764745	7
918397	7
677524	7
1012088	7
629850	7
673999	7
726836	7
778688	7
632887	7
671379	7
657960	7
783490	7
739507	7
773313	7
645185	7
787782	7
715121	7
639124	7
781653	7
771035	7
748032	7
705846	7
667746	7
383104	7
382299	7
406357	7
376767	7
444577	7
454411	7
452753	7
454249	7
394373	7
454564	7
434561	7
500468	7
1078130	7
1014002	7
994248	7
917669	7
1061724	7
758039	7
884415	7
717615	7
1032757	7
736103	7
800705	7
674202	7
398805	7
788319	7
787963	7
957480	7
1030485	7
951849	7
382358	7
537750	7
1014766	7
4484811	7
3698582	7
351834	7
4078178	7
310776	7
1825764	7
4442777	7
343049	7
333456	7
353877	7
311436	7
320549	7
313292	7
334665	7
317474	7
321851	7
319173	7
341663	7
331052	7
354524	7
309291	7
327628	7
341751	7
4412271	7
326061	7
351641	7
2076692	7
1052412	7
1091061	7
1040348	7
799833	7
611776	7
724032	7
257979	7
1911155	7
1142472	7
1141355	7
1130999	7
1123512	7
4402838	7
4482249	7
4378370	7
4421943	7
4369139	7
4294650	7
4294648	7
4391572	7
167198	7
164220	7
164270	7
169433	7
171877	7
163522	7
4397078	7
4444433	7
4397480	7
4405603	7
4332164	7
4405234	7
4358555	7
4397478	7
4388252	7
4432695	7
2307974	7
241900	7
241079	7
305704	7
168243	7
115418	7
4345917	7
3919889	7
3329500	7
4472736	7
279864	7
566808	7
804800	7
4417732	7
728048	7
4351737	7
538694	7
858076	7
979462	7
949264	7
983365	7
951067	7
1010281	7
761034	7
887911	7
1052594	7
885531	7
976150	7
1099957	7
996611	7
947993	7
1101878	7
879122	7
639766	7
606358	7
732267	7
648743	7
754655	7
732696	7
769333	7
686224	7
611672	7
654908	7
630479	7
711278	7
658675	7
766795	7
617442	7
724490	7
688579	7
637357	7
687564	7
604901	7
615043	7
615846	7
731606	7
761340	7
775860	7
630202	7
776135	7
752718	7
801146	7
700861	7
756650	7
707560	7
625718	7
720649	7
618307	7
672292	7
674227	7
738974	7
733514	7
678134	7
783927	7
707985	7
746914	7
632561	7
731722	7
629485	7
798365	7
771509	7
798119	7
700082	7
760042	7
625741	7
774925	7
660531	7
684273	7
702282	7
662762	7
739541	7
626008	7
793256	7
803380	7
687483	7
610922	7
673246	7
718614	7
741399	7
609541	7
626810	7
615350	7
682054	7
705661	7
799437	7
770138	7
654207	7
621580	7
611543	7
657554	7
720678	7
1064282	7
1036321	7
1049341	7
1011566	7
929399	7
1099273	7
1027277	7
946205	7
965797	7
1096490	7
915836	7
1061383	7
986383	7
855694	7
1073975	7
1011477	7
906982	7
866601	7
907079	7
1007616	7
987353	7
1095478	7
880265	7
1036374	7
612534	7
380387	7
1097288	7
956151	7
882049	7
922131	7
1003698	7
887270	7
903882	7
736367	7
972031	7
708501	7
911500	7
654804	7
990486	7
773247	7
979846	7
692672	7
924306	7
636915	7
1038159	7
643183	7
1025673	7
741668	7
1034300	7
749475	7
1084813	7
736867	7
912213	7
687091	7
949036	7
692639	7
1035128	7
740246	7
1102181	7
1000114	7
606146	7
944984	7
664673	7
954165	7
727105	7
867483	7
710346	7
904950	7
689656	7
1092711	7
634646	7
888228	7
710526	7
1015559	7
797102	7
936762	7
656551	7
1063121	7
1060478	7
624634	7
794221	7
937078	7
648856	7
915501	7
656897	7
860300	7
788079	7
961073	7
790242	7
934552	7
747807	7
990326	7
702278	7
714275	7
788569	7
791991	7
736352	7
725154	7
800006	7
637749	7
780026	7
696797	7
800944	7
685310	7
723249	7
640162	7
723498	7
758735	7
616215	7
665082	7
668831	7
695556	7
656576	7
801931	7
657623	7
643165	7
730479	7
660929	7
778058	7
779934	7
787772	7
765272	7
717239	7
681096	7
711828	7
718572	7
698900	7
617868	7
718620	7
611490	7
796712	7
768906	7
623793	7
747316	7
674160	7
781536	7
715598	7
754491	7
722500	7
648842	7
784075	7
731426	7
667929	7
793913	7
635082	7
609503	7
801806	7
621368	7
708599	7
630036	7
717108	7
706235	7
625685	7
765628	7
778661	7
667625	7
774910	7
686757	7
708735	7
677661	7
737051	7
675747	7
753663	7
608412	7
605351	7
711919	7
661780	7
775769	7
774759	7
797269	7
614057	7
719094	7
639432	7
691139	7
795247	7
718448	7
670980	7
779582	7
726086	7
795279	7
799930	7
738170	7
725279	7
669445	7
770559	7
727926	7
652760	7
687760	7
718412	7
627876	7
606459	7
740594	7
790962	7
765829	7
777993	7
697804	7
786695	7
796725	7
715398	7
750852	7
647547	7
785192	7
678707	7
719447	7
795081	7
695380	7
739311	7
663988	7
720913	7
743070	7
724935	7
803121	7
729617	7
775987	7
681662	7
620345	7
649273	7
680123	7
647351	7
729744	7
645949	7
644338	7
616644	7
783664	7
780938	7
646060	7
605688	7
778943	7
641698	7
694597	7
700373	7
647183	7
767133	7
608229	7
686103	7
749310	7
698928	7
736282	7
744959	7
617375	7
690370	7
725711	7
622700	7
617151	7
697853	7
718705	7
754051	7
715898	7
766597	7
706602	7
754235	7
738814	7
761860	7
745369	7
605250	7
703706	7
700563	7
729506	7
789955	7
638716	7
734556	7
728009	7
628739	7
716897	7
626304	7
798656	7
735657	7
754775	7
721396	7
630461	7
654533	7
800949	7
664649	7
734622	7
639241	7
646389	7
685088	7
620033	7
663528	7
667383	7
712320	7
702145	7
638774	7
699681	7
701119	7
638502	7
733864	7
467170	7
416197	7
454571	7
379688	7
401912	7
464475	7
404570	7
405166	7
377141	7
416546	7
381988	7
384167	7
388169	7
446809	7
411445	7
